title,artist,mappers,difficulties_amount,version
Superluminal Absolutely EXTRA-TONE-ordinary Bumpy Ride,Camellia,HaxagonYT,1,1
Syzygia,Camellia,BasedSammy,1,1
The King Of Lions,Camellia,ob1cb,1,1
THE MUZZLE FACING,Camellia,Azurlexx,1,1
This Future (We Didn't Expect),Camellia,Azurlexx,1,1
Beneath The Towering Castle,Camellia & Toby Fox,Azurlexx,1,1
"Together forever, my lovely lovely video game cartridges",Camellia,RealBobTheBlob,1,1
Tojita Sekai,Camellia,gold_wolf,1,1
Tornado,Camellia,Avibah4uu2,1,1
Towards The Horizon,Camellia,GDWither & DyamoDash,1,1
Ultimate Ascension,Camellia,WaterBottle317,1,1
Venomous Firefly,Camellia,GDWither,1,1
We Could Get More Machinegun Psystyle,Camellia,gold_wolf,1,1
Welcome to the Cyphisonia,Camellia,Azurlexx,1,1
Werewolf Howls,Camellia,WaterBottle317,1,1
Xeroa,Camellia,Plxsma_RBLX,1,1
Xronier,Camellia,Avibah4uu2,1,1
[BLEED BLOOD],Camellia,Azurlexx,1,1
=El=Dorado=,Camellia,OKZitro,1,1
+ERABY+E CONNEC+10N,Camellia,Azurlexx,1,1
"*Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",Camellia,Azurlexx & OKZitro,1,1
*Feels Seasickness...*,Camellia,ZitroNitro & Azurlexx,1,1
///Under Construxion///,Camellia,M4eu,1,1
∀NØMALY,Camellia,HaxagonYT,1,1
"∀NØMALY (Camellia's ""MUT∀TION"" Schranz Remix)",Camellia,ZitroNitro,1,1
δ:for the DELTA,Camellia,Azurlexx,1,1
Do the Mario,Captain Lou Albano,Username_NotRequired,1,1
"Revenge (Reek's ""Dude, Whats A Genre?"" Remix)",CaptainSparklez,ob1cb,1,1
WE EAT AT FIVE FIVE FIVE,Cardboard Box vs. STereoChan,GDWither,1,1
The Limit Does Not Exist,Cardboard Box,Plxsma_RBLX,1,1
Lycanthropy,Cardi,AzureWolfie,1,1
On & On,Cartoon,Iamuss76,1,1
Mr. Krabs' Smallest Violin (HARDCORE Remix),Cashew,Username_NotRequired,1,1
High School Conflict (FNF Mod),Celeste,Meteor_Melee,1,1
Weaponized,Celldweller,reallyawesomestuff,1,1
Big Chungus,CG5,Username_NotRequired,1,1
Despicable Punk,CG5 & Pharrell Williams,UsernameNotRequired,1,1
Tokimeki Poporon,Chimame-tai,M4eu,1,1
My Shiny Teeth and Me,Chip Skylark,UsernameNotRequired,1,1
Focus,chipzel,Cruwev,1,1
Spectra,Chipzel,AzureWolfie,1,1
Etude Op.10 No.5 'Black Keys' REMIX,Chopin,Water,1,1
Krab Bop Channel,Chris Kogos,UsernameNotRequired,1,1
Pizza Time,Chris Kogos,Username_NotRequired,1,1
A Perfect Hero,Chris Stanton,Username_NotRequired,1,1
Black Emperor,Chroma,Azurlexx,1,1
Dark Sheep,Chroma,Plxsma_RBLX,1,1
Farewell My Friend,Chroma,Azurlexx,1,1
Field : Kaerezu no Chi,Chroma,Azurlexx,1,1
Hoshi ga Furanai Machi,Chroma,Azurlexx,1,1
I,Chroma,HaxagonYT,1,1
I Purchased Dogs' Bark Samples,Chroma,Azurlexx,1,1
I (L. Mity Remix),Chroma,nextro420,1,1
LALA,Chroma,CNMCqiqi,1,1
Lonely departure,Chroma,Azurlexx,1,1
Made In Love,Chroma,WaterBottle317,1,1
Ryuseigun ni aeta natsu,Chroma,Azurlexx,1,1
Sayonara Planet Wars (Full),Chroma,ZitroNitro,1,1
sink to the deep sea world,Chroma,gold_wolf,1,1
Space Diver Tama,Chroma,Azurlexx,1,1
Sudden Visitor,Chroma,DyamoDash,1,1
The first snowfall on my secret base,Chroma,Azurlexx,1,1
tiny tales continue,Chroma,Azurlexx,1,1
Groovin Movin,Cicadasirensmusic,Noobisnotbad1,1,1
FIRST,Cillia,Iamuss76,1,1
Tough Struggle,Citokid,mm1678YT,1,1
Ji-eun's Sunset,City Girl,reallyawesomestuff,1,1
PARANOiA Revolution,CLIMAX OF MAXX 360,Crucru03,1,1
From Here,CloudNone,GDWither,1,1
Toilet,Clown Core,BasedSammy & ob1cb,1,1
No Running!!,Coakira,DyamoDash,1,1
Bloody Stream,Coda,Username_NotRequired,1,1
Fighting Gold,Coda,AddictedToping,1,1
Tires of Fire,Coda,ZitroNitro,1,1
Christmas in Snowdin,Coffee K,mm1678YT,1,1
20000,ColBreakz,Azurlexx,1,1
Arcade,Colbreakz,ZitroNitro,1,1
Gourmet Race,Colbreakz,Meteor_Melee,1,1
theyaremanycolors,Frums,Waterbottle317,1,1
How to sound like Camellia,Composerily,Water,1,1
All Me,Conro,ELDragonPL,1,1
I Wanna Know,Conro,Uli6636,1,1
Aki nation,COOL&CREATE,AzureWolfie,1,1
R.I.P. in the Gossip Sea,cosMo@BousouP ft. Gumi,M4eu,1,1
Oceanus,cosMo@BousouP,Iamuss76,1,1
Bamboo Sword Girl,cosMo@Bousou-P ft. GUMI,DyamoDash,1,1
Cradles,Sub Urban,ob1cb,1,1
La Campanella Nu Rave,Cranky,Crucru03,1,1
I'VE GOT NO FRIENDS,crappyflute,ZitroNitro,1,1
Carnivores,Creo,OKZitro,1,1
